name,year,rating,metascore,num_votes
Chandni Chowk,1954,5.3,,9.0
Radha Krishna,1954,7.9,,7.0
Waris,1954,6.0,,7.0
Kavi,1954,3.1,,7.0
Miss Mala,1954,6.0,,7.0
Ilzam,1954,6.1,,7.0
Suhagan,1954,6.3,,6.0
Angarey,1954,7.0,,5.0
Lal Pari,1954,4.6,,5.0
Teer,1954,,,
Ritu Vihaar,1954,,,
Rasiya,1954,,,
Africa,1954,,,
Geheraye,1954,,,
Gokul Ka Raja,1954,,,
Guzaara,1954,,,
Ibrat,1954,,,
Ladla,1954,,,
Payal Ki Jhankar,1954,,,
Ramman,1954,,,
Sadma,1954,,,
Sitamgar,1954,,,
Vijaygar,1954,,,
Sheeshe Ki Diwar,1954,,,
Maha Puja,1954,,,
Sahil,1954,,,
Prisoner of Golconda,1954,,,
Daku Ki Ladki,1954,,,
Teen Tasveereen,1954,,,
Rajyogi Bharthari,1954,,,
Kasturi,1954,,,
Noor Mahal,1954,,,
Laila,1954,,,
Gul Bahar,1954,,,
Hukumat,1954,,,
Durga Puja,1954,,,
Chakradhari,1954,,,
Dak Babu,1954,,,
Lakeeren,1954,,,
Gawaiya,1954,,,
Sher Dil,1954,,,
Chora-Chori,1954,,,
Rishta,1954,,,
Pilpili Saheb,1954,,,
Pensioner,1954,,,
Khushboo,1954,,,
Laadla,1954,,,
Dhoop Chhaon,1954,,,
Amar Kirtan,1954,,,
Pyaase Nain,1954,,,
Maan,1954,,,
Pooja,1954,,,
Dost,1954,,,
Sangam,1954,,,
Ehsan,1954,,,
Aulad,1954,,,
Shiv Kanya,1954,,,
Haar Jeet,1954,,,
Bazooband,1954,,,
Mastana,1954,,,
Rihaee,1954,,,
Manohara,III) (1954,,,
Paheli Tarikh,1954,,,
Naaz,1954,,,
Hanuman Janma,1954,,,
Samrat,1954,,,
Barati,1954,,,
Tilottama,1954,,,
Pamposh,1954,,,
Kalakar,1954,,,
Bilwamangal,1954,,,
Shobha,1954,,,
Darwaza,1954,,,
Saltanat,1954,,,
Khaibar,1954,,,
Samaj,1954,,,
Mahatma Kabir,1954,,,
Jadugar,1954,,,
Meenar,1954,,,
Malka-e-Alam Noorjehan,1954,,,
Shiv Ratri,1954,,,
Savdhan,1954,,,
Aurat Teri Yehi Kahani,1954,,,
Bhai Sahab,1954,,,
Ameer,1954,,,
Majboori,1954,,,
Chitrangada,1954,,,
Watan,1954,,,
Toote Khilone,1954,,,
Shri Chaitanya Mahaprabhu,1954,,,
Parichay,1954,,,
Halla Gulla,1954,,,
Mehbooba,1954,,,
Mangu,1954,,,
Munna,1954,,,
Danka,1954,,,
Bokul,1954,,,
Shree 420,1955,8.0,,2398.0
Devdas,1955,8.0,,1623.0
Mr. & Mrs. '55,1955,7.1,,428.0
Azaad,1955,7.2,,123.0
Seema,1955,7.5,,97.0
Jhanak Jhanak Payal Baaje,1955,7.0,,97.0
Munimji,1955,7.4,,86.0
Insaniyat,1955,7.3,,70.0
House No. 44,1955,7.4,,67.0
Uran Khatola,1955,7.3,,59.0
Baap Re Baap,1955,6.6,,27.0
Railway Platform,1955,7.1,,21.0
Abe Hayat,1955,4.8,,21.0
Vachan,1955,5.3,,17.0
Marine Drive,1955,6.4,,17.0
Bara-Dari,1955,5.9,,17.0
Pehli Jhalak,1955,6.4,,17.0
Dev Anand in Goa (Alias Farar),1955,5.6,,16.0
Milap,1955,7.3,,16.0
Kundan,1955,6.6,,16.0
Garam Coat,1955,7.5,,15.0
Jayasimha,1955,7.8,,15.0
Sardar,1955,8.0,,15.0
Bandish,1955,7.1,,15.0
Amaanat,1955,7.1,,15.0
Naata,1955,7.3,,13.0
Swami Vivekananda,1955,6.5,,12.0
Char Paise,1955,5.8,,11.0
Yasmin,1955,5.8,,11.0
Bahu,1955,6.9,,10.0
Naqab,1955,9.0,,8.0
Adil-E-Jahangir,1955,5.0,,7.0
Waman Avtar,1955,6.2,,6.0
Jawab,1955,6.0,,5.0
Faraar,1955,,,
Toofan Mail,1955,,,
Salaam E Mohabbat,1955,,,
Post Master,1955,,,
Naghma E Sahara,1955,,,
Adamkhor,1955,,,
Alladin Ka Beta,1955,,,
Bhedi Lutera,1955,,,
Chhabila,1955,,,
Deewar,1955,,,
Darbar,1955,,,
Khoufank Jungle,1955,,,
Lakhon Mein Ek,1955,,,
Mano Na Mano,1955,,,
Mitrata Ki Yatra,1955,,,
Prabhu Ki Maya,1955,,,
Oot Patang,1955,,,
Raj Kanya,1955,,,
Roop Basant,1955,,,
Sakhi Hatim,1955,,,
Shahi Chor,1955,,,
Shiv Bhakta,1955,,,
Son of Ali Baba,1955,,,
Tatar Ka Chor,1955,,,
Teen Sardar,1955,,,
Shah Behram,1955,,,
Madhur Milan,1955,,,
Tees Maar Khan,1955,,,
Chingari,1955,,,
Kanchan,1955,,,
Jai Mahadev,1955,,,
Veer Rajputani,1955,,,
Flying Man,1955,,,
Hatimtai Ki Beti,1955,,,
Inaam,1955,,,
Jungle Ka Jadoo,1955,,,
Duniya Gol Hai,1955,,,
Jalti Nishani,1955,,,
Baghdad Ka Chor,1955,,,
Shahzada,1955,,,
Bhagwat Mahima,1955,,,
Tangewali,1955,,,
Shri Ganesh Vivah,1955,,,
Raj Durbar,1955,,,
Mahasati Savitri,1955,,,
Raftar,1955,,,
Jasoos,1955,,,
Bindiya,1955,,,
Andher Nagari Chaupat Raja,1955,,,
Riyasat,1955,,,
Santosham,1955,,,
Patit Pawan,1955,,,
Navratri,1955,,,
Khandaan,1955,,,
Do Dulhe,1955,,,
Carnival Queen,1955,,,
Sabse Bada Rupaiya,1955,,,
Ha Ha Hee Hee Ho Ho,1955,,,
Musafir Khana,1955,,,
Rajkumari,1955,,,
Sau Ka Note,1955,,,
Ratnaghar,1955,,,
Ratna Manjari,1955,,,
Chirag-e-Cheen,1955,,,
Shree Krishna Bhakti,1955,,,
Society,1955,,,
Shri Nagad Narayan,1955,,,
Miss Coca Cola,1955,,,
Mast Qalandar,1955,,,
Sakhi Lutera,1955,,,
Ghar Ghar Mein Diwali,1955,,,
Ekadashi,1955,,,
Lagan,1955,,,
Jagadguru Shankaracharya,1955,,,
Bihar Ke Darshaniya Sthan,1955,,,
Albeli,1955,,,
Sati Madalasa,1955,,,
Oonchi Haveli,1955,,,
Mastani,1955,,,
Ghamand,1955,,,
Shikar,1955,,,
Lutera,1955,,,
Teen Bhai,1955,,,
Madh Bhare Nain,1955,,,
Ganga Maiyya,1955,,,
Aaj Ki Baat,1955,,,
Amar Saigal,1955,,,
Shahi Mehmaan,1955,,,
Pyaara Dushman,1955,,,
Joru Ka Bhai,1955,,,
Hoor-E-Arab,1955,,,
Daku,1955,,,
Haseena,1955,,,
Teerandaz,1955,,,
Rukhsana,1955,,,
Sitara,1955,,,
Jashan,1955,,,
Stay Alert,1956,8.4,,815.0
C.I.D.,1956,7.4,,588.0
Chori Chori,1956,7.8,,437.0
Funtoosh,1956,7.3,,69.0
New Delhi,1956,7.4,,62.0
Toofan Aur Deeya,1956,6.7,,59.0
Ek-Hi-Rasta,1956,6.8,,43.0
Halaku,1956,6.5,,39.0
Pocket Maar,1956,7.2,,37.0
Basant Bahar,1956,7.0,,30.0
Shirin Farhad,1956,7.0,,28.0
Mem Sahib,1956,6.9,,27.0
Bhagam Bhag,1956,5.7,,22.0
Parivar,1956,7.3,,21.0
Ham Sab Chor Hain,1956,5.8,,20.0
Hatimtai,1956,6.5,,16.0
Bhai-Bhai,1956,5.8,,16.0
Raj Hath,1956,6.3,,15.0
Rangin Raaten,1956,6.6,,13.0
Heer,1956,4.8,,13.0
Devta,1956,5.4,,13.0
Paisa Hi Paisa,1956,6.5,,11.0
Naya Andaz,1956,6.2,,11.0
Ek Shola,1956,4.4,,10.0
